cycle,rep_share,n,pool
1980,0.6973684210526316,2,Academic Physicians
1988,0.07575757575757575,2,Academic Physicians
1990,0.4391167968864928,47,Academic Physicians
1992,0.3132731266393029,53,Academic Physicians
1994,0.42758958185409907,90,Academic Physicians
1996,0.4654240295611861,122,Academic Physicians
1998,0.3840972937781158,277,Academic Physicians
2000,0.353404234532445,443,Academic Physicians
2002,0.38111573946030647,706,Academic Physicians
2004,0.2727755551315074,1748,Academic Physicians
2006,0.25805187466156965,1514,Academic Physicians
2008,0.22692184689300096,3702,Academic Physicians
2010,0.2882179668616857,2248,Academic Physicians
2012,0.18870898854421905,4771,Academic Physicians
2014,0.19995184517218575,2821,Academic Physicians
2016,0.11685564809453249,5460,Academic Physicians
2018,0.08675172993706055,5704,Academic Physicians
2020,0.03736533062310846,14557,Academic Physicians
2022,0.06224410265788274,6044,Academic Physicians
2024,0.06294678049503405,8249,Academic Physicians
1980,0.5840998294269932,2879,All Physicians
1982,0.5483270298988633,1054,All Physicians
1984,0.521560777427273,963,All Physicians
1986,0.605100732204504,2052,All Physicians
1988,0.5742933419783834,3821,All Physicians
1990,0.5527216851887133,3445,All Physicians
1992,0.5377785825616432,3655,All Physicians
1994,0.6285080101875362,5627,All Physicians
1996,0.6512770316829101,9904,All Physicians
1998,0.5687127431794463,16602,All Physicians
2000,0.5901397279739645,23042,All Physicians
2002,0.5628846481064127,37798,All Physicians
2004,0.548041919764386,63717,All Physicians
2006,0.5044334496674956,54484,All Physicians
2008,0.45202053169617823,74074,All Physicians
2010,0.520380188420793,62267,All Physicians
2012,0.4453380833778116,83943,All Physicians
2014,0.43566056744681614,56202,All Physicians
2016,0.3291091657041877,72307,All Physicians
2018,0.24041298951489223,67757,All Physicians
2020,0.16376253184272502,152301,All Physicians
2022,0.23080617820756458,80243,All Physicians
2024,0.1819548098955641,102370,All Physicians
1980,1.0,1,Medical/Health Professors
1990,0.5,7,Medical/Health Professors
1992,0.09684618975376356,8,Medical/Health Professors
1994,0.356508875739645,13,Medical/Health Professors
1996,0.4054341194369539,21,Medical/Health Professors
1998,0.25869145060368237,54,Medical/Health Professors
2000,0.3510742042496594,75,Medical/Health Professors
2002,0.34686065338978644,114,Medical/Health Professors
2004,0.20964280374080216,314,Medical/Health Professors
2006,0.15956132353446487,332,Medical/Health Professors
2008,0.14980453351790546,523,Medical/Health Professors
2010,0.17506344989545444,435,Medical/Health Professors
2012,0.11552715971794923,976,Medical/Health Professors
2014,0.1349462656831989,667,Medical/Health Professors
2016,0.10144481757783418,930,Medical/Health Professors
2018,0.10116060893898789,808,Medical/Health Professors
2020,0.04822633985055434,1440,Medical/Health Professors
2022,0.07096129195817588,834,Medical/Health Professors
2024,0.05465570319833451,995,Medical/Health Professors
